********************************************************************************
* Mon Jan  7 11:54:56 2013 UTC
* lumitype: PIXEL , datatag: pixelv0 , normtag: PIXELV1 , worktag: HEAD
* 
* by:
* /afs/cern.ch/work/m/mmerola/CMSSW_4_4_5/bin/slc5_amd64_gcc434/pixelLumiCalc.py
* 
* update: NONE
********************************************************************************
[WARNING] lumi or trg for selected run/ls 166701 787 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166701 788 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166701 789 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166701 790 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166701 791 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166701 792 not in lumiDB
[WARNING] lumi or trg for selected run/ls 163630 184 not in lumiDB
[WARNING] lumi or trg for selected run/ls 163630 185 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172847 128 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172847 129 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172847 130 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172847 131 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171315 222 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171315 223 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171315 224 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171315 225 not in lumiDB
[WARNING] lumi or trg for selected run/ls 167740 167 not in lumiDB
[WARNING] lumi or trg for selected run/ls 167740 168 not in lumiDB
[WARNING] lumi or trg for selected run/ls 167740 170 not in lumiDB
[WARNING] lumi or trg for selected run/ls 167740 171 not in lumiDB
[WARNING] lumi or trg for selected run/ls 167740 172 not in lumiDB
[WARNING] lumi or trg for selected run/ls 167740 173 not in lumiDB
[WARNING] lumi or trg for selected run/ls 173380 217 not in lumiDB
[WARNING] lumi or trg for selected run/ls 173381 290 not in lumiDB
[WARNING] lumi or trg for selected run/ls 173381 291 not in lumiDB
[WARNING] lumi or trg for selected run/ls 173381 292 not in lumiDB
[WARNING] lumi or trg for selected run/ls 173381 293 not in lumiDB
[WARNING] lumi or trg for selected run/ls 173381 294 not in lumiDB
